OrderID,CustomerID,ProductID,Quantity,OrderDate
1,1251,2014,10,2023-06-10
2,1236,2004,5,2023-12-07
3,1170,2171,9,2024-10-26
4,1344,2007,2,2023-02-17
5,1319,2061,2,2024-11-06
6,1185,2190,3,2024-11-23
7,1011,2099,8,2023-07-29
8,1322,2078,7,2023-12-06
9,1224,2043,7,2025-01-25
10,1010,2141,3,2023-07-19
11,1324,2090,1,2024-11-21
12,1248,2115,6,2023-06-19
13,1315,2060,10,2023-04-04
14,1348,2144,7,2024-11-26
15,1310,2105,5,2023-02-23
16,1219,2082,3,2024-04-15
17,1199,2047,5,2024-04-29
18,1191,2101,7,2023-05-12
19,1364,2074,7,2024-11-12
20,1333,2117,1,2023-06-08
21,1269,2119,8,2023-08-14
22,1082,2053,9,2024-06-12
23,1128,2075,5,2023-09-17
24,1181,2159,3,2023-07-20
25,1260,2124,6,2024-01-14
26,1114,2124,6,2023-09-07
27,1057,2060,5,2023-12-29
28,1383,2063,2,2023-07-16
29,1022,2051,3,2024-11-18
30,1161,2061,3,2024-11-10
31,1146,2006,9,2024-12-14
32,1095,2158,9,2023-02-22
33,1242,2064,9,2024-03-17
34,1075,2115,6,2024-04-27
35,1139,2060,10,2024-10-22
36,1128,2111,4,2025-01-23
37,1303,2059,9,2024-07-05
38,1047,2133,3,2023-08-17
39,1055,2005,5,2025-01-22
40,1252,2138,1,2024-04-30
41,1095,2046,10,2024-02-22
42,1262,2119,8,2024-10-04
43,1071,2068,1,2024-02-01
44,1338,2143,8,2023-10-07
45,1175,2076,2,2023-08-27
46,1198,2017,7,2023-10-20
47,1196,2114,8,2023-06-18
48,1008,2087,1,2025-01-31
49,1236,2078,4,2023-12-12
50,1335,2180,5,2023-04-09
51,1100,2177,9,2023-01-15
52,1366,2047,10,2023-04-07
53,1314,2005,9,2024-12-25
54,1246,2183,9,2024-02-24
55,1138,2073,6,2023-04-23
56,1178,2172,2,2023-05-09
57,1259,2182,1,2023-02-11
58,1165,2103,1,2024-02-10
59,1110,2076,9,2023-01-28
60,1160,2048,10,2024-11-27
61,1021,2167,4,2023-10-28
62,1113,2083,1,2024-08-28
63,1047,2071,1,2024-11-06
64,1289,2150,8,2023-12-12
65,1098,2153,6,2023-02-06
66,1038,2119,5,2024-04-09
67,1294,2070,1,2025-02-26
68,1148,2187,8,2024-03-02
69,1167,2197,1,2024-05-19
70,1080,2040,10,2025-01-17
71,1281,2107,3,2023-06-06
72,1301,2144,3,2023-06-24
73,1363,2138,8,2023-09-27
74,1112,2126,5,2024-02-11
75,1046,2023,8,2024-05-25
76,1125,2097,9,2025-01-06
77,1129,2178,4,2024-12-11
78,1145,2111,2,2024-09-18
79,1090,2152,6,2023-12-20
80,1118,2120,4,2023-05-22
81,1110,2119,9,2024-05-30
82,1324,2047,9,2023-11-25
83,1307,2125,3,2024-10-18
84,1249,2199,5,2023-02-18
85,1369,2016,3,2025-01-14
86,1287,2021,6,2024-09-24
87,1145,2056,9,2024-06-26
88,1263,2042,10,2023-05-14
89,1050,2017,7,2024-12-09
90,1395,2166,8,2023-02-23
91,1080,2169,8,2023-10-27
92,1281,2136,5,2023-04-30
93,1119,2128,6,2024-02-26
94,1019,2068,1,2025-02-26
95,1348,2090,8,2023-07-22
96,1153,2101,6,2023-12-24
97,1170,2011,4,2023-10-06
98,1167,2126,5,2023-10-15
99,1043,2124,8,2024-11-06
100,1334,2034,10,2023-04-27
101,1264,2026,5,2023-05-14
102,1096,2012,1,2024-01-27
103,1003,2030,6,2025-02-17
104,1052,2040,1,2024-03-22
105,1339,2158,10,2024-01-24
106,1252,2167,5,2025-02-22
107,1323,2129,3,2024-10-28
108,1290,2011,8,2025-01-07
109,1338,2042,9,2024-05-17
110,1331,2044,2,2023-07-17
111,1308,2107,3,2023-12-23
112,1078,2009,9,2024-07-09
113,1395,2074,8,2024-10-09
114,1281,2099,2,2024-09-10
115,1090,2158,9,2025-02-12
116,1044,2114,4,2023-08-31
117,1367,2034,3,2024-05-24
118,1047,2089,9,2023-09-25
119,1360,2085,10,2023-01-20
120,1063,2057,4,2024-01-01
121,1211,2020,4,2025-02-11
122,1237,2094,2,2025-02-27
123,1309,2030,7,2024-11-24
124,1372,2144,7,2023-07-08
125,1092,2029,3,2023-07-02
126,1330,2169,5,2023-01-13
127,1001,2190,5,2024-06-30
128,1362,2077,9,2024-08-22
129,1319,2115,9,2023-09-19
130,1252,2063,7,2024-06-10
131,1141,2200,3,2023-01-22
132,1320,2096,7,2025-02-07
133,1140,2038,6,2024-04-20
134,1293,2051,1,2024-01-10
135,1012,2048,7,2023-02-24
136,1373,2014,7,2024-02-13
137,1204,2194,3,2023-04-14
138,1178,2141,3,2024-08-03
139,1292,2178,9,2023-01-04
140,1355,2136,4,2024-10-29
141,1228,2144,1,2023-02-19
142,1109,2104,9,2024-02-12
143,1380,2034,1,2024-11-29
144,1137,2095,6,2023-12-27
145,1245,2130,9,2023-09-16
146,1073,2036,6,2024-02-22
147,1337,2160,6,2025-02-14
148,1009,2184,8,2024-03-09
149,1149,2185,1,2024-09-22
150,1167,2054,8,2024-10-28
151,1322,2177,9,2023-10-10
152,1178,2111,8,2023-11-02
153,1216,2160,5,2023-07-31
154,1022,2078,7,2023-03-01
155,1039,2136,8,2024-08-25
156,1249,2148,2,2024-12-12
157,1383,2141,4,2023-05-03
158,1066,2186,1,2024-03-27
159,1383,2144,2,2023-08-28
160,1183,2197,3,2023-05-16
161,1244,2085,4,2023-12-20
162,1224,2035,6,2023-12-03
163,1324,2117,5,2024-03-01
164,1208,2166,8,2024-09-11
165,1368,2185,6,2024-07-24
166,1241,2103,10,2023-07-06
167,1240,2131,3,2023-04-20
168,1228,2181,10,2023-02-25
169,1101,2037,6,2023-05-02
170,1246,2143,7,2023-11-03
171,1026,2106,8,2024-03-04
172,1073,2107,9,2023-11-05
173,1144,2145,6,2023-11-16
174,1292,2035,6,2024-08-29
175,1129,2198,4,2023-05-17
176,1236,2136,2,2024-05-31
177,1114,2065,7,2024-10-24
178,1381,2043,1,2025-03-01
179,1232,2014,5,2024-07-02
180,1169,2075,6,2023-02-05
181,1253,2073,3,2025-02-15
182,1024,2070,10,2023-04-18
183,1383,2054,1,2024-12-06
184,1351,2041,10,2024-01-21
185,1305,2190,10,2023-03-28
186,1396,2183,1,2024-09-12
187,1225,2058,1,2024-10-04
188,1328,2096,9,2024-04-21
189,1361,2051,6,2024-06-28
190,1160,2175,4,2024-12-01
191,1306,2008,1,2023-02-10
192,1220,2024,9,2023-03-21
193,1364,2028,8,2023-06-17
194,1283,2153,7,2024-11-12
195,1294,2142,4,2024-08-28
196,1044,2165,3,2025-02-08
197,1168,2122,8,2023-10-26
198,1342,2027,10,2023-03-03
199,1317,2185,2,2023-10-23
200,1208,2159,9,2024-04-28
201,1264,2035,7,2024-07-24
202,1095,2147,8,2024-01-18
203,1022,2176,5,2024-06-15
204,1082,2002,7,2023-06-14
205,1070,2016,9,2024-12-05
206,1008,2109,5,2024-11-24
207,1050,2150,1,2024-08-12
208,1202,2135,7,2024-05-17
209,1255,2087,8,2024-04-22
210,1239,2058,4,2024-05-03
211,1262,2164,2,2023-07-08
212,1258,2080,1,2024-02-04
213,1189,2060,10,2023-09-25
214,1207,2005,4,2023-03-25
215,1199,2114,4,2024-08-16
216,1029,2138,9,2024-11-08
217,1299,2050,7,2024-07-11
218,1260,2136,8,2024-12-09
219,1107,2019,5,2023-02-24
